stage_code,stage,taxa_name,c_per_dw_percent,c_dw_source_primary,c_dw_doi,c_dw_location,c_dw_source_secondary,c_dw_notes
ZOO_STAGE_000,Adult,Calanus finmarchicus,60,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,NA
ZOO_STAGE_000,Adult,Centropages hamatus,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_000,Adult,Centropages typicus,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Gorsky_et_al_1988,for copepods;37.6 in Gorsky
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_000,Adult,Euphausia krohnii,41.2,Lindley_et_al_1999,10.1093/plankt/21.11.2053,NA,Kiorboe_2013;Gorsky_et_al_1988,41.9 broad euphausiid group in Kiorboe;31.1 in Gorsky
ZOO_STAGE_000,Adult,Meganyctiphanes norvegica,40,Lindley_et_al_1999,10.1093/plankt/21.11.2053,NA,Gorsky_et_al_1988;Agersted_Nielsen_2014,33-45
ZOO_STAGE_000,Adult,Metridia lucens,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_000,Adult,Nannocalanus minor,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_000,Adult,Nematoscelis megalops,41.3,Lindley_et_al_1999,10.1093/plankt/21.11.2053,Atlantic Ocean;Celtic Sea,Gorsky_et_al_1988;Lindley_et_al_1999,35.6 in Gorsky
ZOO_STAGE_000,Adult,Paracalanus parvus,45.9,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Uye_1982,42.9-52.4 in Uye_1982
ZOO_STAGE_000,Adult,Pseudocalanus minutus,61.3,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Walve_Larsson_1999,CV-CVI female
ZOO_STAGE_000,Adult,Temora longicornis,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_000,Adult,Thysanoessa gregaria,41.9,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for euphausiids
ZOO_STAGE_000,Adult,Thysanoessa longicaudata,41.9,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Agersted_Nielsen_2014,for euphausiids;40 in Agersted
ZOO_STAGE_000,Adult,Thysanoessa raschii,41.9,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Agersted_Nielsen_2014,for euphausiids;38.7 in Agersted_Nielsen_2014
ZOO_STAGE_024,CV,Calanus finmarchicus,67.5,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Cabrol_et_al_2020,CV;56.8 CIV-CVI Calanus spp. Cabrol et al. 2020 
ZOO_STAGE_024,CV,Centropages hamatus,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Martynova_et_al_2009,for copepods
ZOO_STAGE_024,CV,Centropages typicus,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,48,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,NA,for copepods
