stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
ZOO_STAGE_000,Adult,Calanus finmarchicus,log10(DW_ug) = 3.264 * log10(PL_um) - 8.714,3.264,-8.714,PL,DW,Robertson_1968,"CIT:Robertson, A. 1968. The continuous plankton recorder: a method for studying the biomass of calanoid copepods. Bulletin of Marine Ecology 6: 185-223.",NA,ICES_WGZE_COPEPEDIA;https://wgze.net/biometrics-atlas/;https://wgze.net/index.html;Campbell_et_al_2001;Plourde_Joly_2008,CV-CVI;log10(DW_ug) = 2.231 * log10(PL_um) - 5.18 in Plourde Joly CVI
ZOO_STAGE_000,Adult,Calanus finmarchicus,log10(DW_ug) = 2.267 * log10(CL_um) - 5.105,2.267,-5.105,CL,DW,Karlson_Bamstedt_1994,URL:https://www.jstor.org/stable/24846138,Raunefjorden;Norway,NA,CV C. finmarchicus and 5 other spp.
ZOO_STAGE_000,Adult,Centropages hamatus,log10(DW_ug) = 2.449 * log10(CL_um) - 6.098,2.449,-6.098,PL,DW,KleinBreteler_et_al_1982,10.1016/0077-7579(82)90030-8,North Sea and Cultured copepodites,NA,CI-CVI;cephalothorax length
ZOO_STAGE_000,Adult,Centropages typicus,log10(DW_ug) = 2.451 * log10(PL_um) - 6.103,2.451,-6.103,PL,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,NA,CI-CVI
ZOO_STAGE_000,Adult,Centropages typicus,log10(WW_ug) = 3.213 * log10(PL_um) - 7.589,3.213,-7.589,PL,WW,Shmeleva_1965,"CIT:Shmeleva, A.A. 1965. Weight characteristics of the zooplankton of the Adriatic Sea. Bulletin de l'Institut Oceanographicque 65 (1351): 1-24.  ",Adriatic Sea,ICES_WGZE_COPEPEDIA,NA
ZOO_STAGE_000,Adult,Centropages typicus,log10(WW_ug) = 3 * log10(TL_um) - 7.44,3,-7.44,TL,WW,Cohen_Lough_1981,10.2960/J.v2.a4,Adriatic Sea,Krylov_1968,Stage not reported;couldnt find Krylov_1968 refrenced in the wgt_reg_src_primary;W = 0.0362 L^3
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,log10(WW_ug) = 2.826 * log10(PL_um) - 6.548,2.826,-6.548,PL,WW,Zakaria_et_al_2018,10.1016/j.ejar.2018.05.002,Mediterranean,ICES_WGZE_COPEPEDIA;Shmeleva_1965,NA
ZOO_STAGE_000,Adult,Euphausia krohnii,log10(DW_ug) = 2.723 * log10(TL_um) - 7.661,2.723,-7.661,TL,DW,Lindley_et_al_1999,10.1093/plankt/21.11.2053,North Atlantic ,NA,L from the tip of the rostrum to the tip of the telson excluding terminal spines
ZOO_STAGE_000,Adult,Meganyctiphanes norvegica,log10(C_ug) = 3.930 * log10(TL_um) - 13.200,3.93,-13.2,TL,C,Agersted_Nielsen_2014,10.1093/plankt/fbt139,Greenland,NA,original C_mg = 3.89 * 10^-5 L_mm^3.930
ZOO_STAGE_000,Adult,Metridia lucens,log10(DW_ug) = 3.062 * log10(PL_um) - 8.073,3.062,-8.073,PL,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Hopcroft_et_al_2005;ICES_WGZE_Lutz-Postel;Swalethorp_et_al_2014;Hirche_Mumm_1992,CI-CVI
