stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
ZOO_STAGE_000,Adult,Calanus finmarchicus,87.88,C,Steinberg_unpub,NA,Northeast U.S. Shelf,Swalethorp_et_al_2011;Brun_et_al_2017;ICES_WGZE_COPEPEDIA;Campbell_et_al_2001;Davis_1984;Jarvis_2003,109 C Swalethrop et al 2011;214 in ICES;180 in Campbell et al 2001
ZOO_STAGE_000,Adult,Calanus finmarchicus,286.5,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006;Cornils_et_al_2022;Skjoldal_Aarflot_2023;Gillooly_2000;Assmy_et_al_2023;Gluchowska_et_al_2017;Helenius_et_al_2024,NA
ZOO_STAGE_000,Adult,Centropages hamatus,5.91,C,Martynova_et_al_2009,doi.org/10.1007/s00300-008-0513-1,White Sea,Razouls_et_al_2005,NA
ZOO_STAGE_000,Adult,Centropages hamatus,9.58,DW,Martynova_et_al_2009,doi.org/10.1007/s00300-008-0513-1,White Sea,Pitois_Fox_2006;Gillooly_2000,Adult females;14.7 in Pitois
ZOO_STAGE_000,Adult,Centropages typicus,11.9,C,Corona_et_al_2021,10.1002/lno.11930,Northeast Atlantic;near Plymouth,Steinberg_unpub;Saiz_et_al_1999,adult females;20.34 ug from Deb.Steinberg NES;5 from Mediterranean Sea in Saiz_et_al_1999
ZOO_STAGE_000,Adult,Centropages typicus,38,DW,Bonnet_Carlotti_2001,10.3354/meps224133,Villefranche Bay;Mediterranean Sea,Pitois_Fox_2006;Bonnet_Carlotti_2001,36 ug in Pitois
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Clausocalanus arcuicornis,68,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_000,Adult,Euphausia krohnii,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Euphausia krohnii,5000,DW,NA,NA,NA,NA,Fowler et al 1971 report 2-7 mg but this seems high
ZOO_STAGE_000,Adult,Meganyctiphanes norvegica,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Meganyctiphanes norvegica,25000,DW,Brattelid_Matthews_1978,10.1080/00364827.1978.10411341,Western Norway,NA,NA
ZOO_STAGE_000,Adult,Meganyctiphanes norvegica,127000,WW,Kulka_Corey_1982,10.2307/1548004,Bay of Fundy,NA,NA
ZOO_STAGE_000,Adult,Metridia lucens,24,C,Hays_et_al_1998,10.1093/plankt/20.4.727,New Zealand,Barton_et_al_2020,12.74 in Barton
ZOO_STAGE_000,Adult,Metridia lucens,40.6,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006;Skjoldal_Aarflot_2023;Razouls_et_al_2005,62.3 in Pitois_Fox_2006;150 Metridia spp. CVI
ZOO_STAGE_000,Adult,Nannocalanus minor,17,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA,NA
ZOO_STAGE_000,Adult,Nannocalanus minor,96,DW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_000,Adult,Nematoscelis megalops,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Nematoscelis megalops,NA,DW,NA,NA,NA,NA,NA
ZOO_STAGE_000,Adult,Nematoscelis megalops,37000,WW,Wiebe_et_al_1981,"CIT:Wiebe, P. H., S. H. Boyd, M. Davis, and J. L. Cox. 1981. Avoidance of Towed Nets by the Euphausiid Nematoscelis megalops. Fishery Bulletin 80: 75–91.",Northeast U.S. Shelf,Gleiber_et_al_2022,adult
ZOO_STAGE_000,Adult,Paracalanus parvus,2.91,C,Corona_et_al_2021,10.1002/lno.11930,Northeast Atlantic;near Plymouth,Barton_et_al_2020;Uye_1982;Davis_1984,adult females;1.82 in Barton et al 2020;3 in Uye
